sample,timestamp_seconds,identical_rgb,changed_pixel_fraction,rgb_mae_0_255,psnr_db,psnr_infinite,rgb_ssim,normalized_luma_ssim,edge_correlation,left_rgb_mean_0_1,right_rgb_mean_0_1,left_black_or_white_fraction,right_black_or_white_fraction,lpips_alex_256,delta_e_2000_mean,delta_e_2000_median,delta_e_2000_p95,delta_e_2000_max,visuals
0,0.11165,False,0.9999787808641976,6.198793888092041,29.56982618498301,False,0.9425368905067444,0.9999440908432007,0.9418967577305515,"[0.3059821128845215, 0.18013282120227814, 0.11557285487651825]","[0.32560113072395325, 0.19334837794303894, 0.12889723479747772]",0.0001551247427983539,0.0004779931841563786,0.04263573884963989,4.547241687774658,4.495564937591553,7.401771068572998,17.005704879760742,"{'overview': 'ground_truth_generated_visuals/pair_000.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_000_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_000_diff_x4.png'}"
1,0.2233,False,0.9999685329861111,6.104480266571045,29.670252817071358,False,0.9451183676719666,0.9999414086341858,0.9364479156718887,"[0.30667608976364136, 0.17682097852230072, 0.11252989619970322]","[0.32814013957977295, 0.18910127878189087, 0.1261991560459137]",0.0001482124485596708,0.00037193769290123457,0.04214724153280258,4.429903030395508,4.355466842651367,7.372349739074707,17.109642028808594,"{'overview': 'ground_truth_generated_visuals/pair_001.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_001_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_001_diff_x4.png'}"
2,0.33494999999999997,False,0.9999768518518518,6.0289626121521,29.711661685106332,False,0.9460288882255554,0.9999358654022217,0.9278168494578362,"[0.30064329504966736, 0.16962477564811707, 0.1073489561676979]","[0.3231121897697449, 0.18199363350868225, 0.12148838490247726]",0.0001754195601851852,0.0003543756430041152,0.04116077348589897,4.349958419799805,4.236867904663086,7.399908542633057,17.486459732055664,"{'overview': 'ground_truth_generated_visuals/pair_002.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_002_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_002_diff_x4.png'}"
3,0.4466,False,0.9999633487654321,5.974210262298584,29.764263438686342,False,0.9463586807250977,0.99993497133255,0.9238142786362583,"[0.29842859506607056, 0.16702081263065338, 0.10571939498186111]","[0.32145944237709045, 0.1796993464231491, 0.11987712234258652]",0.00015026202417695473,0.00026282793209876545,0.03867366537451744,4.301994800567627,4.173766613006592,7.407381534576416,17.863216400146484,"{'overview': 'ground_truth_generated_visuals/pair_003.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_003_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_003_diff_x4.png'}"
4,0.55825,False,0.9999680507330246,6.100008487701416,29.571890988716994,False,0.946359395980835,0.9999333024024963,0.9182096196886579,"[0.30240291357040405, 0.1669689565896988, 0.10515144467353821]","[0.3269346058368683, 0.18028101325035095, 0.11926192790269852]",0.00018024209104938271,0.00029228555812757203,0.04001423716545105,4.35123872756958,4.214971542358398,7.4416961669921875,17.54360580444336,"{'overview': 'ground_truth_generated_visuals/pair_004.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_004_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_004_diff_x4.png'}"
5,0.6698999999999999,False,0.9999704619984567,6.164546489715576,29.499251550321247,False,0.9458386301994324,0.9999324679374695,0.9105001601914204,"[0.3028995096683502, 0.16853037476539612, 0.10742457956075668]","[0.32760754227638245, 0.18223702907562256, 0.12128019332885742]",0.00018864133230452675,0.00030156893004115227,0.04088615998625755,4.419921875,4.254544734954834,7.55552339553833,17.857318878173828,"{'overview': 'ground_truth_generated_visuals/pair_005.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_005_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_005_diff_x4.png'}"
6,0.78155,False,0.9999678096064815,6.167568206787109,29.5014620530017,False,0.9461103677749634,0.9999371767044067,0.910986526755609,"[0.3012177050113678, 0.17186647653579712, 0.11231036484241486]","[0.32469117641448975, 0.18578951060771942, 0.12548312544822693]",0.00017481674382716048,0.00030016235853909466,0.0422530397772789,4.490920543670654,4.282622337341309,7.720744609832764,17.793659210205078,"{'overview': 'ground_truth_generated_visuals/pair_006.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_006_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_006_diff_x4.png'}"
7,0.8932,False,0.9999675684799383,6.119226932525635,29.59463311868832,False,0.9460821151733398,0.9999444484710693,0.9244075510963856,"[0.2977960705757141, 0.17809440195560455, 0.11964552104473114]","[0.3197764456272125, 0.1909973919391632, 0.13147951662540436]",0.00017791120113168723,0.00033259387860082307,0.0444624125957489,4.562976837158203,4.3300628662109375,7.891082286834717,17.8792781829834,"{'overview': 'ground_truth_generated_visuals/pair_007.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_007_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_007_diff_x4.png'}"
8,1.00485,False,0.999977695794753,6.099746227264404,29.65376682012879,False,0.9465880393981934,0.9999487996101379,0.9295751782789732,"[0.29562023282051086, 0.18217119574546814, 0.1250944584608078]","[0.31600698828697205, 0.19469237327575684, 0.13614894449710846]",0.00014640399948559672,0.0002838059413580247,0.04445155709981918,4.635753154754639,4.384497165679932,8.05085563659668,17.9434814453125,"{'overview': 'ground_truth_generated_visuals/pair_008.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_008_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_008_diff_x4.png'}"
9,1.1165,False,0.9999729938271605,6.129657745361328,29.620825424955708,False,0.946695864200592,0.9999514222145081,0.9361561228020326,"[0.2957020103931427, 0.18537478148937225, 0.12912942469120026]","[0.31576311588287354, 0.19799815118312836, 0.13944700360298157]",0.00014178240740740742,0.00025133423353909467,0.04491635411977768,4.680173873901367,4.410949230194092,8.181864738464355,18.072710037231445,"{'overview': 'ground_truth_generated_visuals/pair_009.jpg', 'center_crop_1_to_1': 'ground_truth_generated_visuals/pair_009_crop_1to1.png', 'difference_x4': 'ground_truth_generated_visuals/pair_009_diff_x4.png'}"
