sample,timestamp_seconds,identical_rgb,changed_pixel_fraction,rgb_mae_0_255,psnr_db,psnr_infinite,rgb_ssim,normalized_luma_ssim,edge_correlation,left_rgb_mean_0_1,right_rgb_mean_0_1,left_black_or_white_fraction,right_black_or_white_fraction,lpips_alex_256,visuals
0,0.11165,False,1.0,24.459659576416016,19.674168733258547,False,0.7894336581230164,0.9999381899833679,0.8781938658949412,"[0.32861271500587463, 0.2740243673324585, 0.22358369827270508]","[0.32560113072395325, 0.19334837794303894, 0.12889723479747772]",0.0,0.0004779931841563786,,"{'overview': 'source_generated_visuals/pair_000.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_000_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_000_diff_x4.png'}"
1,0.2233,False,1.0,24.494813919067383,19.66514825546049,False,0.7924749255180359,0.9999376535415649,0.8695145970365421,"[0.32904624938964844, 0.2728321850299835, 0.22220797836780548]","[0.32814013957977295, 0.18910127878189087, 0.1261991560459137]",0.0,0.00037193769290123457,,"{'overview': 'source_generated_visuals/pair_001.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_001_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_001_diff_x4.png'}"
2,0.33494999999999997,False,1.0,24.501205444335938,19.671452345088426,False,0.7904528975486755,0.9999352097511292,0.8572838719884378,"[0.327560693025589, 0.26928555965423584, 0.2180890142917633]","[0.3231121897697449, 0.18199363350868225, 0.12148838490247726]",0.0,0.0003543756430041152,,"{'overview': 'source_generated_visuals/pair_002.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_002_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_002_diff_x4.png'}"
3,0.4466,False,1.0,24.496599197387695,19.674130915220577,False,0.7899237871170044,0.9999349117279053,0.8483187000295507,"[0.32653358578681946, 0.2682724893093109, 0.2172154039144516]","[0.32145944237709045, 0.1796993464231491, 0.11987712234258652]",0.0,0.00026282793209876545,,"{'overview': 'source_generated_visuals/pair_003.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_003_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_003_diff_x4.png'}"
4,0.55825,False,1.0,24.701934814453125,19.591210533988594,False,0.7889542579650879,0.9999322891235352,0.8489818712484198,"[0.3292778730392456, 0.2686905264854431, 0.21681107580661774]","[0.3269346058368683, 0.18028101325035095, 0.11926192790269852]",0.0,0.00029228555812757203,,"{'overview': 'source_generated_visuals/pair_004.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_004_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_004_diff_x4.png'}"
5,0.6698999999999999,False,1.0,24.710660934448242,19.580995949140142,False,0.7893778681755066,0.9999308586120605,0.8348322849447153,"[0.33028262853622437, 0.2699240744113922, 0.21839672327041626]","[0.32760754227638245, 0.18223702907562256, 0.12128019332885742]",0.0,0.00030156893004115227,,"{'overview': 'source_generated_visuals/pair_005.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_005_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_005_diff_x4.png'}"
6,0.78155,False,1.0,24.5382022857666,19.63177225253886,False,0.7919571399688721,0.9999340176582336,0.8285176733218459,"[0.3291606903076172, 0.27237561345100403, 0.22149083018302917]","[0.32469117641448975, 0.18578951060771942, 0.12548312544822693]",0.0,0.00030016235853909466,,"{'overview': 'source_generated_visuals/pair_006.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_006_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_006_diff_x4.png'}"
7,0.8932,False,1.0,24.228796005249023,19.732958814129017,False,0.7943081259727478,0.9999397993087769,0.843877411339372,"[0.3271443247795105, 0.2743428945541382, 0.22603105008602142]","[0.3197764456272125, 0.1909973919391632, 0.13147951662540436]",0.0,0.00033259387860082307,,"{'overview': 'source_generated_visuals/pair_007.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_007_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_007_diff_x4.png'}"
8,1.00485,False,1.0,24.048105239868164,19.794287758694693,False,0.7976866960525513,0.9999431371688843,0.851785048650895,"[0.3261111378669739, 0.2762049734592438, 0.22946639358997345]","[0.31600698828697205, 0.19469237327575684, 0.13614894449710846]",0.0,0.0002838059413580247,,"{'overview': 'source_generated_visuals/pair_008.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_008_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_008_diff_x4.png'}"
9,1.1165,False,1.0,23.92681884765625,19.826165329516925,False,0.7991667985916138,0.9999451637268066,0.8641723812993977,"[0.3273947238922119, 0.2774769067764282, 0.23184624314308167]","[0.31576311588287354, 0.19799815118312836, 0.13944700360298157]",0.0,0.00025133423353909467,,"{'overview': 'source_generated_visuals/pair_009.jpg', 'center_crop_1_to_1': 'source_generated_visuals/pair_009_crop_1to1.png', 'difference_x4': 'source_generated_visuals/pair_009_diff_x4.png'}"
